exp_id,attempt_role,job_id,previous_job_id,pbs_path,train_run_dir,pbs_output_log,submitted_at,status_hint
M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k,initial,7176383.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k.pbs.out,2026-05-29T14:49:24Z,submitted
M1_S16_single_fullk_K400_b512_s20k_seed1_to300k,initial,7176384.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k.pbs.out,2026-05-29T14:49:24Z,submitted
M1_S16_single_fullk_K800_b512_s20k_seed1_to300k,initial,7176385.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k.pbs.out,2026-05-29T14:49:24Z,submitted
M1_S32_ddp_fullk_K400_b1024_s20k_seed1_to300k,initial,7176386.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S32_ddp_fullk_K400_b1024_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S32/M1_S32_ddp_fullk_K400_b1024_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S32_ddp_fullk_K400_b1024_s20k_seed1_to300k.pbs.out,2026-05-29T14:49:24Z,submitted
M1_S32_pipe_P32_equal_K1600_b1024_s20k_seed1_to300k,initial,7176387.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S32_pipe_P32_equal_K1600_b1024_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S32/M1_S32_pipe_P32_equal_K1600_b1024_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S32_pipe_P32_equal_K1600_b1024_s20k_seed1_to300k.pbs.out,2026-05-29T14:49:24Z,submitted
M1_S32_pipe_P32_equal_K800_b1024_s20k_seed1_to300k,initial,7176388.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S32_pipe_P32_equal_K800_b1024_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S32/M1_S32_pipe_P32_equal_K800_b1024_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S32_pipe_P32_equal_K800_b1024_s20k_seed1_to300k.pbs.out,2026-05-29T14:49:24Z,submitted
M1_S32_single_fullk_K400_b1024_s20k_seed1_to300k,initial,7176389.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S32_single_fullk_K400_b1024_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S32/M1_S32_single_fullk_K400_b1024_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S32_single_fullk_K400_b1024_s20k_seed1_to300k.pbs.out,2026-05-29T14:49:24Z,submitted
M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k,initial_recovered,7176422.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k.pbs.out,2026-05-29T15:04:47Z,submitted_recovered
M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k,initial_recovered,7176424.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k.pbs.out,2026-05-29T15:04:47Z,submitted_recovered
M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k,initial_recovered,7176425.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k.pbs.out,2026-05-29T15:04:47Z,submitted_recovered
