old_job_id,new_job_id,exp_id,latest_step_before_resume,latest_checkpoint_before_resume,pbs_path,train_run_dir,pbs_output_log,preserved_old_pbs_output,submitted_at,status,error
7174989.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7175214.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,S16_ddp_fullk_K800_b512_s20k_seed1,247,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K800_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs.out,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs.out.prev_7174989_20260528_225914,2026-05-28T22:59:14Z,submitted,
7175019.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7175215.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,S16_pipe_P16_equal_K400_b512_s20k_seed1,6715,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K400_b512_s20k_seed1/checkpoints/ckpt_step4999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_pipe_P16_equal_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K400_b512_s20k_seed1.pbs.out,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K400_b512_s20k_seed1.pbs.out.prev_7175019_20260528_225914,2026-05-28T22:59:14Z,submitted,
7175134.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7175216.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,S32_ddp_fullk_K800_b1024_s20k_seed1,229,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_ddp_fullk_K800_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_ddp_fullk_K800_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K800_b1024_s20k_seed1.pbs.out,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K800_b1024_s20k_seed1.pbs.out.prev_7175134_20260528_225914,2026-05-28T22:59:14Z,submitted,
