old_job_id,new_job_id,exp_id,latest_step_before_resume,latest_checkpoint_before_resume,pbs_path,train_run_dir,pbs_output_log,preserved_old_pbs_output,submitted_at,status,error
7177063.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7185511.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,S16_ddp_fullk_K1600_b512_s20k_seed1,217,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K1600_b512_s20k_seed1.pbs.out,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K1600_b512_s20k_seed1.pbs.out.prev_7177063_20260605_024928,2026-06-05T02:49:28Z,submitted,
7177305.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7185513.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,S16_ddp_fullk_K800_b512_s20k_seed1,21,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K800_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs.out,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs.out.prev_7177305_20260605_024928,2026-06-05T02:49:28Z,submitted,
7177306.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7185515.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,S16_pipe_P16_equal_K1600_b512_s20k_seed1,432,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.pbs.out,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.pbs.out.prev_7177306_20260605_024928,2026-06-05T02:49:28Z,submitted,
7177459.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7185517.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,S16_single_fullk_K1600_b512_s20k_seed1,15131,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K1600_b512_s20k_seed1/checkpoints/ckpt_step14999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_single_fullk_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_single_fullk_K1600_b512_s20k_seed1.pbs.out,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_single_fullk_K1600_b512_s20k_seed1.pbs.out.prev_7177459_20260605_024928,2026-06-05T02:49:28Z,submitted,
7177460.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7185519.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,S32_ddp_fullk_K1600_b1024_s20k_seed1,2397,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_ddp_fullk_K1600_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_ddp_fullk_K1600_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K1600_b1024_s20k_seed1.pbs.out,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K1600_b1024_s20k_seed1.pbs.out.prev_7177460_20260605_024928,2026-06-05T02:49:28Z,submitted,
7177697.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7185520.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,S32_single_fullk_K1600_b1024_s20k_seed1,13511,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_single_fullk_K1600_b1024_s20k_seed1/checkpoints/ckpt_step9999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_single_fullk_K1600_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_single_fullk_K1600_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_single_fullk_K1600_b1024_s20k_seed1.pbs.out,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_single_fullk_K1600_b1024_s20k_seed1.pbs.out.prev_7177697_20260605_024928,2026-06-05T02:49:28Z,submitted,
