old_job_id,new_job_id,exp_id,latest_step_before_resume,latest_checkpoint_before_resume,pbs_path,train_run_dir,pbs_output_log,preserved_old_pbs_output,submitted_at,status,error
7175254.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S16_ddp_fullk_K1600_b512_s20k_seed1,S16_ddp_fullk_K1600_b512_s20k_seed1,130,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K1600_b512_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
7175255.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S16_ddp_fullk_K400_b512_s20k_seed1,S16_ddp_fullk_K400_b512_s20k_seed1,5229,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K400_b512_s20k_seed1/checkpoints/ckpt_step4999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K400_b512_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
7175214.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S16_ddp_fullk_K800_b512_s20k_seed1,S16_ddp_fullk_K800_b512_s20k_seed1,247,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K800_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
7175232.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S16_pipe_P16_equal_K1600_b512_s20k_seed1,S16_pipe_P16_equal_K1600_b512_s20k_seed1,1435,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
7175256.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S16_pipe_P16_equal_K400_b512_s20k_seed1,S16_pipe_P16_equal_K400_b512_s20k_seed1,6169,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K400_b512_s20k_seed1/checkpoints/ckpt_step4999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_pipe_P16_equal_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K400_b512_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
7174781.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S16_single_fullk_K1600_b512_s20k_seed1,S16_single_fullk_K1600_b512_s20k_seed1,15475,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K1600_b512_s20k_seed1/checkpoints/ckpt_step14999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_single_fullk_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_single_fullk_K1600_b512_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
7175169.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S32_ddp_fullk_K1600_b1024_s20k_seed1,S32_ddp_fullk_K1600_b1024_s20k_seed1,120,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_ddp_fullk_K1600_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_ddp_fullk_K1600_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K1600_b1024_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
7175216.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S32_ddp_fullk_K800_b1024_s20k_seed1,S32_ddp_fullk_K800_b1024_s20k_seed1,229,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_ddp_fullk_K800_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_ddp_fullk_K800_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K800_b1024_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
7175020.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S32_pipe_P32_equal_K400_b1024_s20k_seed1,S32_pipe_P32_equal_K400_b1024_s20k_seed1,959,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_pipe_P32_equal_K400_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_pipe_P32_equal_K400_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_pipe_P32_equal_K400_b1024_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
7174786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,DRYRUN-S32_single_fullk_K1600_b1024_s20k_seed1,S32_single_fullk_K1600_b1024_s20k_seed1,5400,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_single_fullk_K1600_b1024_s20k_seed1/checkpoints/ckpt_step4999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_single_fullk_K1600_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_single_fullk_K1600_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_single_fullk_K1600_b1024_s20k_seed1.pbs.out,,2026-05-29T20:36:32Z,dry_run,
