group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,fid_inception,fid_feature,unique_ratio,distinct_images,diversity_trace,max_f_neg_last_1k_mean,max_abs_chain_last_1k_mean,fneg_stage2_over_stage3_last_1k_mean,walltime,run_dir,eval_dir,status,train_job_id,eval_job_id
A2,A2_pipe_last2b001_p2_k100_s20k,Q2 pipeline factor,pipe_strict,2,2,100,20000,1e-4,1.0,last2_beta,0.01,114.22240109495755,1.8398233148853613,1.0,5000,6.056905266190693,nan,nan,nan,1199,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p2_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p2_k100_s20k_20260329_145053/eval,done,6980024.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980025.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A2,A2_pipe_last2b001_p4_k100_s20k,Q2 pipeline factor,pipe_strict,4,4,100,20000,1e-4,1.0,last2_beta,0.01,106.22312384890517,2.694916279896969,1.0,5000,8.33218310824017,nan,nan,0.2871559691270333,902,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p4_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p4_k100_s20k_20260329_145053/eval,done,6980026.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980027.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A2,A2_pipe_last2b001_p8_k100_s20k,Q2 pipeline factor,pipe_strict,8,8,100,20000,1e-4,1.0,last2_beta,0.01,127.71921957988073,3.241750242876222,1.0,5000,5.947448293539237,nan,nan,-1.267626251725259,4743,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p8_k100_s20k_20260329_145326,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p8_k100_s20k_20260329_145326/eval,done,6980032.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980033.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_ddp_fullk_k30_s20k,Q3 sampling_fidelity factor,ddp_fullk,4,0,30,20000,1e-4,1.0,uniform,0.01,372.8244812008316,16.66312676047059,1.0,5000,1.0681478906718838,nan,nan,nan,941,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k30_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k30_s20k_20260329_145447/eval,done,6980034.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980035.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_pipe_last2b001_p4_k30_s20k,Q3 sampling_fidelity factor,pipe_strict,4,4,30,20000,1e-4,1.0,last2_beta,0.01,167.24952504622044,13.755911560020728,0.9964,4982,35.45325201550711,nan,nan,0.33067965129721805,598,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k30_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k30_s20k_20260329_145447/eval,done,6980036.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980037.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_ddp_fullk_k60_s20k,Q3 sampling_fidelity factor,ddp_fullk,4,0,60,20000,1e-4,1.0,uniform,0.01,143.82086789447493,8.90707726887505,0.9994,4997,34.61370806157925,nan,nan,nan,1425,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k60_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k60_s20k_20260329_145447/eval,done,6980038.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980039.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_pipe_last2b001_p4_k60_s20k,Q3 sampling_fidelity factor,pipe_strict,4,4,60,20000,1e-4,1.0,last2_beta,0.01,124.30201430664641,12.20640000335014,1.0,5000,27.98727222033621,nan,nan,0.2687730893427294,721,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k60_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k60_s20k_20260329_145447/eval,done,6980040.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980041.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_ddp_fullk_k100_s20k,Q3 sampling_fidelity factor,ddp_fullk,4,0,100,20000,1e-4,1.0,uniform,0.01,118.9807886227535,0.5299215457419315,1.0,5000,9.142334734688951,nan,nan,nan,2042,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k100_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k100_s20k_20260329_152523/eval,done,6980044.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980045.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_pipe_last2b001_p4_k100_s20k,Q3 sampling_fidelity factor,pipe_strict,4,4,100,20000,1e-4,1.0,last2_beta,0.01,123.03575353426459,1.489888164974893,1.0,5000,7.768369735107688,nan,nan,0.28125486042686065,886,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k100_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k100_s20k_20260329_152523/eval,done,6980046.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980047.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_ddp_fullk_k150_s20k,Q3 sampling_fidelity factor,ddp_fullk,4,0,150,20000,1e-4,1.0,uniform,0.01,334.97352235738043,3.229169519383648,1.0,5000,2.7726190377907147,nan,nan,nan,2848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k150_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k150_s20k_20260329_152523/eval,done,6980048.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980049.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_pipe_last2b001_p4_k150_s20k,Q3 sampling_fidelity factor,pipe_strict,4,4,150,20000,1e-4,1.0,last2_beta,0.01,327.7384232001299,4.245254381366099,1.0,5000,2.3997489664669005,nan,nan,0.3179582959479601,1083,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k150_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k150_s20k_20260329_152523/eval,done,6980050.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980051.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_ddp_fullk_k200_s20k,Q3 sampling_fidelity factor,ddp_fullk,4,0,200,20000,1e-4,1.0,uniform,0.01,371.2953885237827,5.117263737306786,1.0,5000,1.7351368888555077,nan,nan,nan,3645.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k200_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k200_s20k_20260329_152523/eval,done,6980052.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
