ledger,phase_group,family_id,logical_run_id,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,paper_role,canonical_run_dir,step,checkpoint_step,fid_inception,fid_feature,unique_ratio,metrics_path,train_walltime_seconds,train_walltime_hours,gpu_count,train_gpu_hours,wallclock_seconds_at_step,wallclock_hours_at_step,gpu_hours_at_step,walltime_source
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,170000,169999,407.35024979258185,9.903840546705762,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step170000/metrics_compare.json,32788,9.107778,1,9.107778,18579.866667,5.161074,5.161074,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,175000,174999,407.719985813027,9.906455914381594,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step175000/metrics_compare.json,32788,9.107778,1,9.107778,19126.333333,5.312870,5.312870,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,180000,179999,407.40589867616177,9.90203699638294,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step180000/metrics_compare.json,32788,9.107778,1,9.107778,19672.800000,5.464667,5.464667,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,185000,184999,407.81211911532677,9.90985465455526,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step185000/metrics_compare.json,32788,9.107778,1,9.107778,20219.266667,5.616463,5.616463,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,190000,189999,407.68933929227103,9.908057750222923,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step190000/metrics_compare.json,32788,9.107778,1,9.107778,20765.733333,5.768259,5.768259,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,195000,194999,408.53465686496054,9.91467919520187,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step195000/metrics_compare.json,32788,9.107778,1,9.107778,21312.200000,5.920056,5.920056,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,200000,199999,407.446318889857,9.903810257168592,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step200000/metrics_compare.json,32788,9.107778,1,9.107778,21858.666667,6.071852,6.071852,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,205000,204999,407.9876842114882,9.901947822326385,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step205000/metrics_compare.json,32788,9.107778,1,9.107778,22405.133333,6.223648,6.223648,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,210000,209999,407.51975676384995,9.903064816636846,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step210000/metrics_compare.json,32788,9.107778,1,9.107778,22951.600000,6.375444,6.375444,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,215000,214999,407.13491195174777,9.916835735215749,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step215000/metrics_compare.json,32788,9.107778,1,9.107778,23498.066667,6.527241,6.527241,linear_interpolation_from_job_info_successful_attempt_total
