group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,fid_inception,fid_feature,unique_ratio,distinct_images,diversity_trace,max_f_neg_last_1k_mean,max_abs_chain_last_1k_mean,fneg_stage2_over_stage3_last_1k_mean,walltime,run_dir,eval_dir,status,train_job_id,eval_job_id
P500K,single_fullk_K100_seed1_500k,500k mainline followup,single_fullk,1,1,100,500000,1e-4,1.0,uniform,0.01,56.56082380820368,0.6637028135461911,1.0,5000,10.073107652461957,14.482325129999996,1.4626909029999995,nan,4194.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/single_fullk_K100_seed1_500k_resume_20260401_152616,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/single_fullk_K100_seed1_500k_resume_20260401_152616/eval,done,6983861.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
P500K,ddp_fullk_K100_seed1_500k,500k mainline followup,ddp_fullk,4,0,100,500000,1e-4,1.0,uniform,0.01,64.61510648175954,0.4522660497849209,1.0,5000,8.71895587677797,nan,nan,nan,8614.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed1_500k_resume_20260401_152616,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed1_500k_resume_20260401_152616/eval,done,6983851.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
P500K,ddp_fullk_K100_seed2_500k,500k mainline followup,ddp_fullk,4,0,100,500000,1e-4,1.0,uniform,0.01,59.83725293609854,0.42974015966469636,1.0,5000,8.951596441049762,nan,nan,nan,8656.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed2_500k_resume_20260401_152616,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed2_500k_resume_20260401_152616/eval,done,6983853.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
P500K,ddp_fullk_K100_seed3_500k,500k mainline followup,ddp_fullk,4,0,100,500000,1e-4,1.0,uniform,0.01,72.55367705300227,0.7073577173295895,1.0,5000,9.771103796040025,nan,nan,nan,10213.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed3_500k_resume_20260401_152616,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed3_500k_resume_20260401_152616/eval,done,6983855.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
P500K,pipe_strict_P4_K100_beta001_lr1e4_seed1_500k,500k mainline followup,pipe_strict,4,4,100,500000,1e-4,1.0,last2_beta,0.01,77.79853597494497,1.4931354005196908,1.0,5000,7.76225467913961,nan,nan,0.4411212059712802,21610.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed1_500k_20260331_214126,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed1_500k_20260331_214126/eval,done,6982349.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
P500K,pipe_strict_P4_K100_beta001_lr1e4_seed2_500k,500k mainline followup,pipe_strict,4,4,100,500000,1e-4,1.0,last2_beta,0.01,95.48980072832421,0.8591263614508939,1.0,5000,8.205789295514935,nan,nan,0.4307688103046547,21592.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed2_500k_20260331_214126,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed2_500k_20260331_214126/eval,done,6982350.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
P500K,pipe_strict_P4_K100_beta001_lr1e4_seed3_500k,500k mainline followup,pipe_strict,4,4,100,500000,1e-4,1.0,last2_beta,0.01,71.08917987364077,3.9676768181006032,1.0,5000,10.251384870183113,nan,nan,0.3819240900496717,21599.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed3_500k_20260331_214126,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/pipe_strict_P4_K100_beta001_lr1e4_seed3_500k_20260331_214126/eval,done,6982351.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
