phase,group,exp_id,train_mode,pipe_stages,weight_mode,last2_beta,steps,status,final_fid,final_fid_feature,final_unique_ratio,last_train_step,last_trajectory_step,run_dir,trajectory_csv,final_metrics_path,pbs_job_id,local_run
E2,E2,E2_pipe_strict_last2b0005_P4_K100_s300k,pipe_strict,4,last2_beta,0.005,300000,done_local,86.57803764202293,0.8128791468680596,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b0005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b0005_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b0005_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992380.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_pipe_strict_last2b001_P4_K100_s300k,pipe_strict,4,last2_beta,0.01,300000,done_local,68.04799612110031,0.8046256841503237,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b001_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b001_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b001_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992381.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_pipe_strict_last2b002_P4_K100_s300k,pipe_strict,4,last2_beta,0.02,300000,done_local,69.56097300698849,3.9384451797205244,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b002_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b002_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b002_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992382.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_pipe_strict_last2b003_P4_K100_s300k,pipe_strict,4,last2_beta,0.03,300000,done_local,81.08612296018487,1.2008648642295725,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b003_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b003_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b003_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992383.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_pipe_strict_last2b005_P4_K100_s300k,pipe_strict,4,last2_beta,0.05,300000,done_local,81.24128529821104,1.0245430164770752,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b005_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b005_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992384.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_pipe_strict_uniform_P4_K100_s300k,pipe_strict,4,uniform,0.01,300000,done_local,67.77599169631753,2.26966802052047,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_uniform_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_uniform_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_uniform_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992378.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_single_pipe_emul_deep_P4_K100_s300k,single_pipe_emul,4,deep_only,0.01,300000,done_local,98.17217190470404,1.4718170377003368,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_deep_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_deep_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_deep_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992372.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_single_pipe_emul_last2b0005_P4_K100_s300k,single_pipe_emul,4,last2_beta,0.005,300000,done_local,71.93943028122862,0.8211814927067422,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b0005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b0005_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b0005_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992373.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_single_pipe_emul_last2b001_P4_K100_s300k,single_pipe_emul,4,last2_beta,0.01,300000,done_local,75.03255143267756,0.5420801517481593,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b001_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b001_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b001_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992374.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_single_pipe_emul_last2b002_P4_K100_s300k,single_pipe_emul,4,last2_beta,0.02,300000,done_local,77.02298672020447,0.7358866275089895,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b002_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b002_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b002_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992375.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_single_pipe_emul_last2b003_P4_K100_s300k,single_pipe_emul,4,last2_beta,0.03,300000,done_local,89.52432917641295,1.5797381713839975,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b003_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b003_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b003_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992376.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_single_pipe_emul_last2b005_P4_K100_s300k,single_pipe_emul,4,last2_beta,0.05,300000,done_local,98.40077734386296,2.1856015368890027,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b005_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_last2b005_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992377.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
E2,E2,E2_single_pipe_emul_uniform_P4_K100_s300k,single_pipe_emul,4,uniform,0.01,300000,done_local,64.70780256430095,1.4259332259693132,,299990,299999,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_uniform_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_uniform_P4_K100_s300k_20260405_003926/trajectory/trajectory.csv,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_single_pipe_emul_uniform_P4_K100_s300k_20260405_003926/trajectory/step300000/metrics_compare.json,6992371.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no
