group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,fid_inception,fid_feature,unique_ratio,distinct_images,diversity_trace,max_f_neg_last_1k_mean,max_abs_chain_last_1k_mean,fneg_stage2_over_stage3_last_1k_mean,walltime,run_dir,eval_dir,status,train_job_id,eval_job_id
P2A0,single_fullk_K100_seed1_300k,Phase2 300k anchors,single_fullk,1,1,100,300000,1e-4,1.0,uniform,0.01,61.65055605301666,0.5418381401279113,1.0,5000,11.005160042301513,nan,nan,nan,27582,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,reference,,
P2A0,ddp_fullk_K100_seed1_300k,Phase2 300k anchors,ddp_fullk,4,0,100,300000,1e-4,1.0,uniform,0.01,66.85674838265982,0.4363502421222769,1.0,5000,8.480574274267594,nan,nan,nan,30394,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322/eval,reference,,
P2A0,pipe_strict_P4_K100_beta001_lr1e4_seed1_300k,Phase2 300k anchors,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,55.994582500105366,0.45003938602726734,1.0,5000,8.857848344407158,10.458973,1.4159449999999996,0.4249434432998346,13139,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval,reference,,
M1,ddp_fullk_K100_seed2_300k,M1 reproducibility,ddp_fullk,4,0,100,300000,1e-4,1.0,uniform,0.01,58.29269515836154,0.2716689276415849,1.0,5000,9.617976523945199,nan,nan,nan,30362.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed2_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed2_300k_20260329_170437/eval,done,6980119.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
M1,pipe_strict_P4_K100_beta001_lr1e4_seed2_300k,M1 reproducibility,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,66.04742062254462,0.6867041992750949,1.0,5000,8.93534634362046,nan,nan,0.42935472226101623,12951.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed2_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed2_300k_20260329_170437/eval,done,6980120.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
M1,ddp_fullk_K100_seed3_300k,M1 reproducibility,ddp_fullk,4,0,100,300000,1e-4,1.0,uniform,0.01,65.13306481720332,1.1844041515607486,1.0,5000,8.976094148908588,nan,nan,nan,30240.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed3_300k_20260331_024324,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed3_300k_20260331_024324/eval,done,6981547.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
M1,pipe_strict_P4_K100_beta001_lr1e4_seed3_300k,M1 reproducibility,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,71.1893179896029,0.872600541196352,1.0,5000,10.1960339871226,nan,nan,0.40147864057814675,13026.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed3_300k_20260331_024324,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed3_300k_20260331_024324/eval,done,6981548.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
M2,ddp_fullk_K400_seed1_300k,M2 high_K control,ddp_fullk,4,0,400,300000,1e-4,1.0,uniform,0.01,436.25764104452844,6.912259980833543,1.0,5000,0.979542507522985,nan,nan,nan,98970.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/ddp_fullk_K400_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/ddp_fullk_K400_seed1_300k_20260329_170437/eval,done,6980121.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
M2,pipe_strict_P4_K400_beta001_lr1e4_seed1_300k,M2 high_K control,pipe_strict,4,4,400,300000,1e-4,1.0,last2_beta,0.01,391.7776837884562,6.578146891237828,1.0,5000,1.2246946347991525,nan,nan,0.424453160374952,30316.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k_20260329_170437/eval,done,6980122.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
S1,single_pipe_emul_P4_K100_deep_seed1_300k,S1 single_gpu mechanism,single_pipe_emul,1,4,100,300000,1e-4,1.0,deep_only,0.01,60.618976076181866,0.7999021406988049,1.0,5000,10.243454444657168,8.178752970000009,1.5176791320000007,0.49213009498683935,28600.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_deep_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_deep_seed1_300k_20260329_170437/eval,done,6980123.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
S1,single_pipe_emul_P4_K100_beta001_seed1_300k,S1 single_gpu mechanism,single_pipe_emul,1,4,100,300000,1e-4,1.0,last2_beta,0.01,89.39214785003168,2.3226254452423163,1.0,5000,8.137406122806189,10.744791673000002,1.5241443029999995,0.43338059552157465,28595.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_beta001_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_beta001_seed1_300k_20260329_170437/eval,done,6980124.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
S2,pipe_strict_P2_K100_beta001_lr1e4_seed1_300k,S2 stage_count factor,pipe_strict,2,2,100,300000,1e-4,1.0,last2_beta,0.01,83.66631836923483,0.657411977978029,1.0,5000,9.231938689235042,nan,nan,nan,17648.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S2/pipe_strict_P2_K100_beta001_lr1e4_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S2/pipe_strict_P2_K100_beta001_lr1e4_seed1_300k_20260329_170437/eval,done,6980125.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
S2,pipe_strict_P8_K100_beta001_lr1e4_seed1_300k,S2 stage_count factor,pipe_strict,8,8,100,300000,1e-4,1.0,last2_beta,0.01,76.61524342318478,2.013518758204743,1.0,5000,10.462751530380956,nan,nan,0.6107324483862991,69771,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S2/pipe_strict_P8_K100_beta001_lr1e4_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S2/pipe_strict_P8_K100_beta001_lr1e4_seed1_300k_20260329_170437/eval,done,6980130.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
