submitted_at,exp_id,old_job_id,resume_job_id,resume_ckpt,run_dir,pbs_output_log,status
2026-05-26T04:18:23Z,B0opt_ddp_fullk_K400_b128_s20k_seed1,7171533.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7171628.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0_optional/B0opt_ddp_fullk_K400_b128_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0opt_ddp_fullk_K400_b128_s20k_seed1.resume_20260526T041823Z.pbs.out,submitted
2026-05-26T04:18:23Z,B0opt_pipe_P8_equal_K400_b128_s20k_seed1,7171534.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7171629.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0_optional/B0opt_pipe_P8_equal_K400_b128_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0opt_pipe_P8_equal_K400_b128_s20k_seed1.resume_20260526T041823Z.pbs.out,submitted
2026-05-26T04:18:23Z,B0opt_ddp_fullk_K400_b512_s20k_seed1,7171535.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7171630.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0_optional/B0opt_ddp_fullk_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0opt_ddp_fullk_K400_b512_s20k_seed1.resume_20260526T041823Z.pbs.out,submitted
2026-05-26T04:53:07Z,B0opt_pipe_P8_equal_K400_b512_s20k_seed1,7171536,7171660.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest_no_checkpoint_fresh,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0_optional/B0opt_pipe_P8_equal_K400_b512_s20k_seed1,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0opt_pipe_P8_equal_K400_b512_s20k_seed1.resume_20260526T045305Z.pbs.out,submitted
