phase,exp_id,train_job_id,config_path,pbs_path,train_run_dir,pbs_output_log,submitted_at,status
B0,B0_single_fullk_K400_b256_s20k_seed1,7162478.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/configs/B0_single_fullk_K400_b256_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/pbs/B0_single_fullk_K400_b256_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0/B0_single_fullk_K400_b256_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0_single_fullk_K400_b256_s20k_seed1.pbs.out,2026-05-20T20:35:07Z,submitted
B0,B0_single_emul_P8_equal_K400_b256_s20k_seed1,7162479.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/configs/B0_single_emul_P8_equal_K400_b256_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/pbs/B0_single_emul_P8_equal_K400_b256_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0/B0_single_emul_P8_equal_K400_b256_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0_single_emul_P8_equal_K400_b256_s20k_seed1.pbs.out,2026-05-20T20:35:07Z,submitted
B0,B0_ddp_fullk_K400_b256_s20k_seed1,7162480.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/configs/B0_ddp_fullk_K400_b256_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/pbs/B0_ddp_fullk_K400_b256_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0/B0_ddp_fullk_K400_b256_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0_ddp_fullk_K400_b256_s20k_seed1.pbs.out,2026-05-20T20:35:07Z,submitted
B0,B0_pipe_P8_equal_K400_b256_s20k_seed1,7162481.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/configs/B0_pipe_P8_equal_K400_b256_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/pbs/B0_pipe_P8_equal_K400_b256_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0/B0_pipe_P8_equal_K400_b256_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0_pipe_P8_equal_K400_b256_s20k_seed1.pbs.out,2026-05-20T20:35:07Z,submitted
B0_optional,B0opt_ddp_fullk_K400_b128_s20k_seed1,7171533.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/configs/B0opt_ddp_fullk_K400_b128_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/pbs/B0opt_ddp_fullk_K400_b128_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0_optional/B0opt_ddp_fullk_K400_b128_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0opt_ddp_fullk_K400_b128_s20k_seed1.pbs.out,2026-05-26T03:08:17Z,submitted
B0_optional,B0opt_pipe_P8_equal_K400_b128_s20k_seed1,7171534.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/configs/B0opt_pipe_P8_equal_K400_b128_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/pbs/B0opt_pipe_P8_equal_K400_b128_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0_optional/B0opt_pipe_P8_equal_K400_b128_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0opt_pipe_P8_equal_K400_b128_s20k_seed1.pbs.out,2026-05-26T03:08:17Z,submitted
B0_optional,B0opt_ddp_fullk_K400_b512_s20k_seed1,7171535.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/configs/B0opt_ddp_fullk_K400_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/pbs/B0opt_ddp_fullk_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0_optional/B0opt_ddp_fullk_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0opt_ddp_fullk_K400_b512_s20k_seed1.pbs.out,2026-05-26T03:08:17Z,submitted
B0_optional,B0opt_pipe_P8_equal_K400_b512_s20k_seed1,7171536.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/configs/B0opt_pipe_P8_equal_K400_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/pbs/B0opt_pipe_P8_equal_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/runs/B0_optional/B0opt_pipe_P8_equal_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_batch_scaling/logs/B0opt_pipe_P8_equal_K400_b512_s20k_seed1.pbs.out,2026-05-26T03:08:17Z,submitted
