logical_run_id,phase_group,family_id,horizon_steps,seed,points,expected_points,first_step,last_step,complete_5k_grid
current_cifar_paper:cifar10:single_P2_deepest:seed2:h500000,O4,single_P2_deepest,500000,2,100,100,5000,500000,yes
current_cifar_paper:cifar10:single_P2_deepest:seed3:h300000,O3,single_P2_deepest,300000,3,60,60,5000,300000,yes
current_cifar_paper:cifar10:single_P2_deepest:seed3:h500000,O4,single_P2_deepest,500000,3,100,100,5000,500000,yes
current_cifar_paper:cifar10:single_P2_equal:seed1:h300000,O1,single_P2_equal,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:single_P2_equal:seed1:h500000,O4,single_P2_equal,500000,1,100,100,5000,500000,yes
current_cifar_paper:cifar10:single_P2_equal:seed2:h300000,O3,single_P2_equal,300000,2,60,60,5000,300000,yes
current_cifar_paper:cifar10:single_P2_equal:seed2:h500000,O4,single_P2_equal,500000,2,100,100,5000,500000,yes
current_cifar_paper:cifar10:single_P2_equal:seed3:h300000,O3,single_P2_equal,300000,3,60,60,5000,300000,yes
current_cifar_paper:cifar10:single_P2_equal:seed3:h500000,O4,single_P2_equal,500000,3,100,100,5000,500000,yes
current_cifar_paper:cifar10:single_P4_deepest:seed1:h300000,O1,single_P4_deepest,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:single_P4_equal:seed1:h300000,O1,single_P4_equal,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:single_P8_deepest:seed1:h300000,O1,single_P8_deepest,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,O1,single_P8_equal,300000,1,60,60,5000,300000,yes
