phase,group,exp_id,story,benchmark,microbench_mode,world_size,num_nodes,ppn,K,steps,warmup_steps,batch_size,local_batch,lr,step_size,noise_std,langevin_sign,seed,queue,walltime,submit,paper_role,uses_drl_backbone,uses_imagenet32,notes,config_path,pbs_path,manifest_row_path,run_dir,pbs_output_log
M0,long_k_overhead_microbench,M0_ddp_train_only_K400_b64_s2k_seed1,K400 overhead split: isolate DDP train-only versus Langevin sampling-only cost,cifar10,ddp_train_only,8,2,4,400,2000,50,64,8,1e-4,0.0025,0.01,1.0,1,preemptable,02:00:00,yes,overhead_microbench,false,false,No paper training; synthetic tensors only. Measures ddp_train_only at K400 with global batch 64.,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/configs/M0_ddp_train_only_K400_b64_s2k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/pbs/M0_ddp_train_only_K400_b64_s2k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/configs/M0_ddp_train_only_K400_b64_s2k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/runs/M0/M0_ddp_train_only_K400_b64_s2k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/logs/M0_ddp_train_only_K400_b64_s2k_seed1.pbs.out
M0,long_k_overhead_microbench,M0_sampling_only_K400_b64_s2k_seed1,K400 overhead split: isolate DDP train-only versus Langevin sampling-only cost,cifar10,sampling_only,8,2,4,400,2000,50,64,8,1e-4,0.0025,0.01,1.0,1,preemptable,06:00:00,yes,overhead_microbench,false,false,No paper training; synthetic tensors only. Measures sampling_only at K400 with global batch 64.,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/configs/M0_sampling_only_K400_b64_s2k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/pbs/M0_sampling_only_K400_b64_s2k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/configs/M0_sampling_only_K400_b64_s2k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/runs/M0/M0_sampling_only_K400_b64_s2k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/logs/M0_sampling_only_K400_b64_s2k_seed1.pbs.out
M0,long_k_overhead_microbench,M0_ddp_train_only_K400_b256_s2k_seed1,K400 overhead split: isolate DDP train-only versus Langevin sampling-only cost,cifar10,ddp_train_only,8,2,4,400,2000,50,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,02:00:00,yes,overhead_microbench,false,false,No paper training; synthetic tensors only. Measures ddp_train_only at K400 with global batch 256.,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/configs/M0_ddp_train_only_K400_b256_s2k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/pbs/M0_ddp_train_only_K400_b256_s2k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/configs/M0_ddp_train_only_K400_b256_s2k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/runs/M0/M0_ddp_train_only_K400_b256_s2k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/logs/M0_ddp_train_only_K400_b256_s2k_seed1.pbs.out
M0,long_k_overhead_microbench,M0_sampling_only_K400_b256_s2k_seed1,K400 overhead split: isolate DDP train-only versus Langevin sampling-only cost,cifar10,sampling_only,8,2,4,400,2000,50,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,06:00:00,yes,overhead_microbench,false,false,No paper training; synthetic tensors only. Measures sampling_only at K400 with global batch 256.,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/configs/M0_sampling_only_K400_b256_s2k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/pbs/M0_sampling_only_K400_b256_s2k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/configs/M0_sampling_only_K400_b256_s2k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/runs/M0/M0_sampling_only_K400_b256_s2k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_microbench/logs/M0_sampling_only_K400_b256_s2k_seed1.pbs.out
