phase,group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,submit,queue,train_walltime,eval_walltime,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,paired_key,target_role,budget_basis,legacy_context,notes
O2,O2,O2_pipe_strict_P4_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,4,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P8_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,8,8,100,300000,1e-4,1.0,uniform,0.01,1,2,4,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P8_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,8,8,100,300000,1e-4,1.0,deep_only,0.01,1,2,4,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P16_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,16,16,100,300000,1e-4,1.0,uniform,0.01,1,4,4,5000,yes,preemptable,36:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P16_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,16,16,100,300000,1e-4,1.0,deep_only,0.01,1,4,4,5000,yes,preemptable,36:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O3,O3,O3_ddp_fullk_K100_seed2_300k,Objective-first seed expansion for DDP baseline,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,2,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_seed_expansion,no,Expand robustness for new mainline
O3,O3,O3_ddp_fullk_K100_seed3_300k,Objective-first seed expansion for DDP baseline,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,3,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_seed_expansion,no,Expand robustness for new mainline
O3,O3,O3_ddp_fullk_K100_seed4_300k,Objective-first seed expansion for DDP baseline,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,4,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_seed_expansion,no,Expand robustness for new mainline
O3,O3,O3_ddp_fullk_K100_seed5_300k,Objective-first seed expansion for DDP baseline,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,5,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_seed_expansion,no,Expand robustness for new mainline
O3,O3,O3_pipe_strict_P4_uniform_K100_seed2_300k,Objective-first seed expansion for pipeline uniform candidate,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,2,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_seed_expansion,no,Seed expansion for current pipeline trajectory candidate
O3,O3,O3_pipe_strict_P4_uniform_K100_seed3_300k,Objective-first seed expansion for pipeline uniform candidate,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,3,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_seed_expansion,no,Seed expansion for current pipeline trajectory candidate
O3,O3,O3_pipe_strict_P4_uniform_K100_seed4_300k,Objective-first seed expansion for pipeline uniform candidate,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,4,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_seed_expansion,no,Seed expansion for current pipeline trajectory candidate
O3,O3,O3_pipe_strict_P4_uniform_K100_seed5_300k,Objective-first seed expansion for pipeline uniform candidate,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,5,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_seed_expansion,no,Seed expansion for current pipeline trajectory candidate
O3,O3,O3_single_pipe_emul_P2_uniform_K100_seed2_300k,Objective-first seed expansion for single-side uniform candidate,single_pipe_emul,1,2,100,300000,1e-4,1.0,uniform,0.01,2,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,objective_emulation,300k_seed_expansion,no,Seed expansion for current single-side trajectory candidate
O3,O3,O3_single_pipe_emul_P2_uniform_K100_seed3_300k,Objective-first seed expansion for single-side uniform candidate,single_pipe_emul,1,2,100,300000,1e-4,1.0,uniform,0.01,3,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,objective_emulation,300k_seed_expansion,no,Seed expansion for current single-side trajectory candidate
O3,O3,O3_single_pipe_emul_P2_deep_K100_seed2_300k,Objective-first seed expansion for single-side deep candidate,single_pipe_emul,1,2,100,300000,1e-4,1.0,deep_only,0.01,2,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,objective_emulation,300k_seed_expansion,no,Seed expansion for current single-side endpoint candidate
O3,O3,O3_single_pipe_emul_P2_deep_K100_seed3_300k,Objective-first seed expansion for single-side deep candidate,single_pipe_emul,1,2,100,300000,1e-4,1.0,deep_only,0.01,3,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,objective_emulation,300k_seed_expansion,no,Seed expansion for current single-side endpoint candidate
O3,O3,O3_single_fullk_K100_seed2_300k,Objective-first seed expansion for single baseline reference,single_fullk,1,1,100,300000,1e-4,1.0,uniform,0.01,2,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,single_baseline,300k_seed_expansion,no,Seed expansion for single-side baseline reference
O3,O3,O3_single_fullk_K100_seed3_300k,Objective-first seed expansion for single baseline reference,single_fullk,1,1,100,300000,1e-4,1.0,uniform,0.01,3,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,single_baseline,300k_seed_expansion,no,Seed expansion for single-side baseline reference
O3,O3,O3_pipe_strict_P2_uniform_K100_seed2_300k,Objective-first lower-priority pipeline control with uniform weighting,pipe_strict,2,2,100,300000,1e-4,1.0,uniform,0.01,2,1,2,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,pipeline_realization,300k_seed_expansion,no,Lower-priority control expansion
O3,O3,O3_pipe_strict_P2_uniform_K100_seed3_300k,Objective-first lower-priority pipeline control with uniform weighting,pipe_strict,2,2,100,300000,1e-4,1.0,uniform,0.01,3,1,2,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,pipeline_realization,300k_seed_expansion,no,Lower-priority control expansion
O4,O4,O4_single_fullk_K100_seed1_500k,Objective-first 500k baseline control,single_fullk,1,1,100,500000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,single_baseline,500k_long_horizon,no,Long-horizon baseline
O4,O4,O4_single_fullk_K100_seed2_500k,Objective-first 500k baseline control,single_fullk,1,1,100,500000,1e-4,1.0,uniform,0.01,2,1,1,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,single_baseline,500k_long_horizon,no,Long-horizon baseline
O4,O4,O4_single_fullk_K100_seed3_500k,Objective-first 500k baseline control,single_fullk,1,1,100,500000,1e-4,1.0,uniform,0.01,3,1,1,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,single_baseline,500k_long_horizon,no,Long-horizon baseline
O4,O4,O4_ddp_fullk_K100_seed1_500k,Objective-first 500k DDP baseline,ddp_fullk,4,1,100,500000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,500k_long_horizon,no,Long-horizon DDP baseline
O4,O4,O4_ddp_fullk_K100_seed2_500k,Objective-first 500k DDP baseline,ddp_fullk,4,1,100,500000,1e-4,1.0,uniform,0.01,2,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,500k_long_horizon,no,Long-horizon DDP baseline
O4,O4,O4_ddp_fullk_K100_seed3_500k,Objective-first 500k DDP baseline,ddp_fullk,4,1,100,500000,1e-4,1.0,uniform,0.01,3,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,500k_long_horizon,no,Long-horizon DDP baseline
O4,O4,O4_single_pipe_emul_P2_deep_K100_seed1_500k,Objective-first 500k single-side deep candidate,single_pipe_emul,1,2,100,500000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,20:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,objective_emulation,500k_long_horizon,no,Long-horizon single-side endpoint candidate
O4,O4,O4_single_pipe_emul_P2_deep_K100_seed2_500k,Objective-first 500k single-side deep candidate,single_pipe_emul,1,2,100,500000,1e-4,1.0,deep_only,0.01,2,1,1,5000,yes,preemptable,20:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,objective_emulation,500k_long_horizon,no,Long-horizon single-side endpoint candidate
O4,O4,O4_single_pipe_emul_P2_deep_K100_seed3_500k,Objective-first 500k single-side deep candidate,single_pipe_emul,1,2,100,500000,1e-4,1.0,deep_only,0.01,3,1,1,5000,yes,preemptable,20:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,objective_emulation,500k_long_horizon,no,Long-horizon single-side endpoint candidate
O4,O4,O4_single_pipe_emul_P2_uniform_K100_seed1_500k,Objective-first 500k single-side uniform candidate,single_pipe_emul,1,2,100,500000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,20:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,objective_emulation,500k_long_horizon,no,Long-horizon single-side trajectory candidate
O4,O4,O4_single_pipe_emul_P2_uniform_K100_seed2_500k,Objective-first 500k single-side uniform candidate,single_pipe_emul,1,2,100,500000,1e-4,1.0,uniform,0.01,2,1,1,5000,yes,preemptable,20:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,objective_emulation,500k_long_horizon,no,Long-horizon single-side trajectory candidate
O4,O4,O4_single_pipe_emul_P2_uniform_K100_seed3_500k,Objective-first 500k single-side uniform candidate,single_pipe_emul,1,2,100,500000,1e-4,1.0,uniform,0.01,3,1,1,5000,yes,preemptable,20:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,objective_emulation,500k_long_horizon,no,Long-horizon single-side trajectory candidate
O4,O4,O4_pipe_strict_P4_uniform_K100_seed1_500k,Objective-first 500k pipeline uniform candidate,pipe_strict,4,4,100,500000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,500k_long_horizon,no,Long-horizon pipeline trajectory candidate
O4,O4,O4_pipe_strict_P4_uniform_K100_seed2_500k,Objective-first 500k pipeline uniform candidate,pipe_strict,4,4,100,500000,1e-4,1.0,uniform,0.01,2,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,500k_long_horizon,no,Long-horizon pipeline trajectory candidate
O4,O4,O4_pipe_strict_P4_uniform_K100_seed3_500k,Objective-first 500k pipeline uniform candidate,pipe_strict,4,4,100,500000,1e-4,1.0,uniform,0.01,3,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,500k_long_horizon,no,Long-horizon pipeline trajectory candidate
O4,O4,O4_pipe_strict_P4_deep_K100_seed1_500k,Objective-first 500k pipeline deep candidate,pipe_strict,4,4,100,500000,1e-4,1.0,deep_only,0.01,1,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,pipeline_realization,500k_long_horizon,no,Long-horizon pipeline endpoint candidate
O4,O4,O4_pipe_strict_P4_deep_K100_seed2_500k,Objective-first 500k pipeline deep candidate,pipe_strict,4,4,100,500000,1e-4,1.0,deep_only,0.01,2,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,pipeline_realization,500k_long_horizon,no,Long-horizon pipeline endpoint candidate
O4,O4,O4_pipe_strict_P4_deep_K100_seed3_500k,Objective-first 500k pipeline deep candidate,pipe_strict,4,4,100,500000,1e-4,1.0,deep_only,0.01,3,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,pipeline_realization,500k_long_horizon,no,Long-horizon pipeline endpoint candidate
O5,O5,O5_ddp_fullk_K25_seed1_300k,Objective-first compute-matched baseline control,ddp_fullk,4,1,25,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,25,K25_baseline,ddp_baseline,compute_matched_control,no,Compare at equal wall-clock / GPU-hours / model-evals
O5,O5,O5_ddp_fullk_K50_seed1_300k,Objective-first compute-matched baseline control,ddp_fullk,4,1,50,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,50,K50_baseline,ddp_baseline,compute_matched_control,no,Compare at equal wall-clock / GPU-hours / model-evals
O5,O5,O5_ddp_fullk_K100_seed1_300k,Objective-first compute-matched baseline control,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,K100_baseline,ddp_baseline,compute_matched_control,no,Compare at equal wall-clock / GPU-hours / model-evals
O5,O5,O5_pipe_strict_P4_uniform_K100_seed1_300k,Objective-first compute-matched pipeline candidate,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,compute_matched_control,no,Compute-matched pipeline trajectory candidate
O5,O5,O5_pipe_strict_P4_deep_K100_seed1_300k,Objective-first compute-matched pipeline candidate,pipe_strict,4,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,pipeline_realization,compute_matched_control,no,Compute-matched pipeline endpoint candidate
