phase,group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,submit,queue,train_walltime,eval_walltime,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,paired_key,target_role,budget_basis,legacy_context,notes,submitted_at,train_run_dir,eval_run_dir,train_job_id,eval_job_id
O4,O4,O4_pipe_strict_P4_uniform_K100_seed4_500k,Objective-first 500k pipeline uniform seed top-up,pipe_strict,4,4,100,500000,1e-4,1.0,uniform,0.01,4,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,500k_long_horizon,no,Supplement P4 equal 500k robustness seed,2026-04-30T04:38:39Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O4/O4_pipe_strict_P4_uniform_K100_seed4_500k_20260430_043839,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O4/O4_pipe_strict_P4_uniform_K100_seed4_500k_20260430_043839/eval,7106765.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O4,O4,O4_pipe_strict_P4_uniform_K100_seed5_500k,Objective-first 500k pipeline uniform seed top-up,pipe_strict,4,4,100,500000,1e-4,1.0,uniform,0.01,5,1,4,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,500k_long_horizon,no,Supplement P4 equal 500k robustness seed,2026-04-30T04:38:39Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O4/O4_pipe_strict_P4_uniform_K100_seed5_500k_20260430_043839,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O4/O4_pipe_strict_P4_uniform_K100_seed5_500k_20260430_043839/eval,7106766.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O5,O5,O5_pipe_strict_P4_uniform_K100_seed2_300k,Objective-first compute-matched pipeline equal K100 supplement,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,2,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,compute_matched_control,no,Supplement paired compute-matched P4 equal K100 control,2026-04-30T04:38:39Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O5/O5_pipe_strict_P4_uniform_K100_seed2_300k_20260430_043839,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O5/O5_pipe_strict_P4_uniform_K100_seed2_300k_20260430_043839/eval,7106767.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_pipe_strict_P4_deep_K100_seed2_300k,Objective-first pipeline deepest seed top-up,pipe_strict,4,4,100,300000,1e-4,1.0,deep_only,0.01,2,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,pipeline_realization,300k_seed_topup,no,Supplement P4 deepest comparison seed,2026-04-30T04:38:39Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O3/O3_pipe_strict_P4_deep_K100_seed2_300k_20260430_043839,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O3/O3_pipe_strict_P4_deep_K100_seed2_300k_20260430_043839/eval,7106768.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O3,O3,O3_pipe_strict_P4_deep_K100_seed3_300k,Objective-first pipeline deepest seed top-up,pipe_strict,4,4,100,300000,1e-4,1.0,deep_only,0.01,3,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,pipeline_realization,300k_seed_topup,no,Supplement P4 deepest comparison seed,2026-04-30T04:38:39Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O3/O3_pipe_strict_P4_deep_K100_seed3_300k_20260430_043839,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O3/O3_pipe_strict_P4_deep_K100_seed3_300k_20260430_043839/eval,7106769.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
