ledger,phase_group,family_id,logical_run_id,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,paper_role,points_count,fid_points_count,final_step,final_fid_inception,best_step,best_fid_inception,train_walltime_seconds,train_walltime_hours,train_walltime_days,gpu_count,train_gpu_hours,walltime_source,canonical_run_dir
current_cifar_paper,O2,pipe_P2_deepest,current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,cifar10,strict_pipeline,2,deepest,100,300000,1,control,60,60,300000,63.0832698988,275000,57.2071794252,17825,4.951389,0.206308,2,9.902778,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_deep_K100_seed1_300k_20260406_214845
current_cifar_paper,O2,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,cifar10,strict_pipeline,2,equal,100,300000,1,control,60,60,300000,79.6302301069,290000,54.2510330946,17712,4.920000,0.205000,2,9.840000,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_uniform_K100_seed1_300k_20260406_214845
current_cifar_paper,O3,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,cifar10,strict_pipeline,2,equal,100,300000,2,control,60,60,300000,70.9062561907,70000,56.0093820726,17589,4.885833,0.203576,2,9.771667,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P2_uniform_K100_seed2_300k_20260409_132633
current_cifar_paper,O3,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,cifar10,strict_pipeline,2,equal,100,300000,3,control,60,60,300000,68.3341019891,280000,53.4138214328,17600,4.888889,0.203704,2,9.777778,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P2_uniform_K100_seed3_300k_20260409_132633
current_cifar_paper,O2,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed1:h300000,cifar10,strict_pipeline,4,deepest,100,300000,1,control,60,60,300000,64.3783738191,190000,58.9768392075,12936,3.593333,0.149722,4,14.373333,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_deep_K100_seed1_300k_20260406_214845
current_cifar_paper,O4,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed1:h500000,cifar10,strict_pipeline,4,deepest,100,500000,1,control,100,100,500000,73.9348021678,445000,54.9199460843,21423,5.950833,0.247951,4,23.803333,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_deep_K100_seed1_500k_20260416_184021
current_cifar_paper,O3,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed2:h300000,cifar10,pipeline,4,deepest,100,300000,2,appendix,60,60,300000,66.115842268,290000,58.9782429451,12950,3.597222,0.149884,4,14.388889,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O3/O3_pipe_strict_P4_deep_K100_seed2_300k_20260430_043839
current_cifar_paper,O4,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed2:h500000,cifar10,strict_pipeline,4,deepest,100,500000,2,control,100,100,500000,76.6741836931,240000,55.575334787,21495,5.970833,0.248785,4,23.883333,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_deep_K100_seed2_500k_20260416_184021
current_cifar_paper,O3,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed3:h300000,cifar10,pipeline,4,deepest,100,300000,3,appendix,60,60,300000,61.1531364267,165000,61.0949428451,12892,3.581111,0.149213,4,14.324444,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O3/O3_pipe_strict_P4_deep_K100_seed3_300k_20260430_043839
current_cifar_paper,O4,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed3:h500000,cifar10,strict_pipeline,4,deepest,100,500000,3,control,100,100,500000,72.7934360493,465000,54.4487994037,21549,5.985833,0.249410,4,23.943333,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_deep_K100_seed3_500k_20260416_184021
